date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:36	30760/30760	---M-Z	200	added ('OK')	text/html	etag:%227828-65de2935-8cd033137ba55c9;gz%22	https://themepixels.me/demo/slim1.1/template/index4.html	themepixels.me/demo/slim1.1/template/index4.html	(from )
15:57:38	1159/1159	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:%22999-62e0e3e3-d279262f562faa99;gz%22	https://themepixels.me/robots.txt		(from )
15:57:38	36911/36911	---M-Z	200	added ('OK')	text/html	etag:%22902f-65df1f7e-7427b69629551a4c;gz%22	https://themepixels.me/demo/slim1.1/template/index.html	themepixels.me/demo/slim1.1/template/index.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:39	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62e0e3e3-d279262f562faa99;gz%22	https://themepixels.me/demo/slim1.1/template/page-activity.html	themepixels.me/demo/slim1.1/template/page-activity.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:40	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62e0e3e3-d279262f562faa99;gz%22	https://themepixels.me/demo/slim1.1/template/page-notifications.html	themepixels.me/demo/slim1.1/template/page-notifications.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:41	31815/31815	---M-Z	200	added ('OK')	text/html	etag:%227c47-65de295f-2fef499c51dd3d6;gz%22	https://themepixels.me/demo/slim1.1/template/page-profile.html	themepixels.me/demo/slim1.1/template/page-profile.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:42	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62e0e3e3-d279262f562faa99;gz%22	https://themepixels.me/demo/slim1.1/template/page-edit-profile.html	themepixels.me/demo/slim1.1/template/page-edit-profile.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:43	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62e0e3e3-d279262f562faa99;gz%22	https://themepixels.me/demo/slim1.1/template/page-settings.html	themepixels.me/demo/slim1.1/template/page-settings.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:44	2741/2741	---M-Z	200	added ('OK')	text/html	etag:%22ab5-65de2957-176d78c3097d9569;gz%22	https://themepixels.me/demo/slim1.1/template/page-signin.html	themepixels.me/demo/slim1.1/template/page-signin.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:45	32831/32831	---M-Z	200	added ('OK')	text/html	etag:%22803f-65de2910-43fa1923255f2df3;gz%22	https://themepixels.me/demo/slim1.1/template/index2.html	themepixels.me/demo/slim1.1/template/index2.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:46	38129/38129	---M-Z	200	added ('OK')	text/html	etag:%2294f1-65df1f7d-a7faaa14e2b2b919;gz%22	https://themepixels.me/demo/slim1.1/template/index3.html	themepixels.me/demo/slim1.1/template/index3.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:47	31440/31440	---M-Z	200	added ('OK')	text/html	etag:%227ad0-65de292e-3dbd6ccfb5fda413;gz%22	https://themepixels.me/demo/slim1.1/template/index5.html	themepixels.me/demo/slim1.1/template/index5.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:48	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62e0e3e3-d279262f562faa99;gz%22	https://themepixels.me/demo/slim1.1/template/elem-accordion.html	themepixels.me/demo/slim1.1/template/elem-accordion.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:49	25757/25757	---M-Z	200	added ('OK')	text/html	etag:%22649d-65de2937-dac3f769c79e1a63;gz%22	https://themepixels.me/demo/slim1.1/template/elem-alerts.html	themepixels.me/demo/slim1.1/template/elem-alerts.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:50	39000/39000	---M-Z	200	added ('OK')	text/html	etag:%229858-65de295e-37471fbe3fff6d8c;gz%22	https://themepixels.me/demo/slim1.1/template/elem-buttons.html	themepixels.me/demo/slim1.1/template/elem-buttons.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:51	47844/47844	---M-Z	200	added ('OK')	text/html	etag:%22bae4-65de2936-a5e2b1c07174ffd8;gz%22	https://themepixels.me/demo/slim1.1/template/elem-cards.html	themepixels.me/demo/slim1.1/template/elem-cards.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:52	41365/41365	---M-Z	200	added ('OK')	text/html	etag:%22a195-65de293a-5eb4b2b94e94e46a;gz%22	https://themepixels.me/demo/slim1.1/template/elem-carousel.html	themepixels.me/demo/slim1.1/template/elem-carousel.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
15:57:53	29098/29098	---M-Z	200	added ('OK')	text/html	etag:%2271aa-65de290a-65d744896d0abc29;gz%22	https://themepixels.me/demo/slim1.1/template/elem-dropdowns.html	themepixels.me/demo/slim1.1/template/elem-dropdowns.html	(from https://themepixels.me/demo/slim1.1/template/index4.html)
