date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:48	7492/7492	---MCZ	200	added ('OK')	text/html	etag:W/%221d44-5bf901fdd27c4%22	https://nimoy.ceosdesigns.sk/template/v03/signup.html	nimoy.ceosdesigns.sk/template/v03/signup.html	(from )
16:23:49	173/173	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Wed,%2014%20Aug%202024%2015:23:49%20GMT	https://nimoy.ceosdesigns.sk/robots.txt		(from )
16:23:49	5913/5913	---M--	200	added ('OK')	image/png	etag:%221719-5bf901fd99d83%22	https://nimoy.ceosdesigns.sk/template/v03/images/favicon.png	nimoy.ceosdesigns.sk/template/v03/images/favicon.png	(from https://nimoy.ceosdesigns.sk/template/v03/signup.html)
16:23:51	154875/154875	---MCZ	200	added ('OK')	text/css	etag:W/%2225cfb-5bf901fcf0e61%22	https://nimoy.ceosdesigns.sk/template/v03/css/bootstrap.min.css	nimoy.ceosdesigns.sk/template/v03/css/bootstrap.min.css	(from https://nimoy.ceosdesigns.sk/template/v03/signup.html)
16:23:52	9049/9049	---MCZ	200	added ('OK')	text/css	etag:W/%222359-5bf901fd140e1%22	https://nimoy.ceosdesigns.sk/template/v03/css/styles.css	nimoy.ceosdesigns.sk/template/v03/css/styles.css	(from https://nimoy.ceosdesigns.sk/template/v03/signup.html)
16:23:52	7359/7359	---MCZ	200	added ('OK')	text/html	etag:W/%221cbf-5bf901fdc5ca4%22	https://nimoy.ceosdesigns.sk/template/v03/login.html	nimoy.ceosdesigns.sk/template/v03/login.html	(from https://nimoy.ceosdesigns.sk/template/v03/signup.html)
16:23:54	89501/89501	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215d9d-5bf901fdc2dc4%22	https://nimoy.ceosdesigns.sk/template/v03/js/jquery-3.6.0.min.js	nimoy.ceosdesigns.sk/template/v03/js/jquery-3.6.0.min.js	(from https://nimoy.ceosdesigns.sk/template/v03/signup.html)
16:23:55	80427/80427	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213a2b-5bf901fdac663%22	https://nimoy.ceosdesigns.sk/template/v03/js/bootstrap.bundle.min.js	nimoy.ceosdesigns.sk/template/v03/js/bootstrap.bundle.min.js	(from https://nimoy.ceosdesigns.sk/template/v03/signup.html)
16:23:56	1092/1092	---MCZ	200	added ('OK')	application/javascript	etag:W/%22444-5bf901fdc3d64%22	https://nimoy.ceosdesigns.sk/template/v03/js/script.js	nimoy.ceosdesigns.sk/template/v03/js/script.js	(from https://nimoy.ceosdesigns.sk/template/v03/signup.html)
16:23:57	2806/2806	---M--	200	added ('OK')	image/png	etag:%22af6-5bf901fda1a83%22	https://nimoy.ceosdesigns.sk/template/v03/images/overlay.png	nimoy.ceosdesigns.sk/template/v03/images/overlay.png	(from https://nimoy.ceosdesigns.sk/template/v03/css/styles.css)
16:23:58	2610483/2610483	---M--	200	added ('OK')	image/jpeg	etag:%2227d533-5bf901fd96ea3%22	https://nimoy.ceosdesigns.sk/template/v03/images/background.jpg	nimoy.ceosdesigns.sk/template/v03/images/background.jpg	(from https://nimoy.ceosdesigns.sk/template/v03/css/styles.css)
16:23:59	6508/6508	---MCZ	200	added ('OK')	text/html	etag:W/%22196c-5bf901fdcba64%22	https://nimoy.ceosdesigns.sk/template/v03/recover.html	nimoy.ceosdesigns.sk/template/v03/recover.html	(from https://nimoy.ceosdesigns.sk/template/v03/login.html)
